id,created_at,updated_at,partner_type,lead_sales_contact
132,1.60819202301316E+018,1.60819205231425E+018,Agent,Lion
133,1.60825775347101E+018,1.61888841555656E+018,Agent,Root
134,1.60851338460908E+018,1.60851400359444E+018,Agent,Tree
135,1.60861051665849E+018,1.60861069060211E+018,Agent,Apple
136,1.60861231724273E+018,1.60861231724273E+018,Agent,Potato
137,1.60972515400479E+018,1.60972515400479E+018,Agent,Lion
138,1.60973467079628E+018,1.61104443255077E+018,Agent,Lion
139,1.60974907489655E+018,1.61888862323624E+018,Developer,Root
140,1.60982141074912E+018,1.60982141074912E+018,Agent,Potato
141,1.60985340296482E+018,1.61097804822857E+018,Agent,Tulip
142,1.60991551729488E+018,1.60991551729488E+018,Agent,Potato
143,1.60991553322536E+018,1.60991609430364E+018,Agent,Potato
144,1.60991554547342E+018,1.60991554547342E+018,Agent,Potato
145,1.60992254522641E+018,1.60992254522641E+018,Agent,Potato
146,1.60992994083716E+018,1.6109991787872E+018,Developer,Daisy
147,1.60995159123102E+018,1.60995159123102E+018,IFA,Leaf
148,1.60999030444547E+018,1.60999030444547E+018,Agent,Lion
149,1.6099928012185E+018,1.6099928012185E+018,Management company,Potato
150,1.60999499694351E+018,1.60999499694351E+018,Developer,Apple
151,1.61000789287416E+018,1.61000789287416E+018,Developer,Potato
152,1.61006714319904E+018,1.62002984712027E+018,Agent,Sky
153,1.61007737968082E+018,1.61007737968082E+018,Developer,Potato
154,1.61008148337087E+018,1.61008148337087E+018,Lender,Potato
155,1.61009298795158E+018,1.61854634415381E+018,IFA,Potato
156,1.61034375670869E+018,1.61890295066376E+018,Agent,Root
157,1.6103457244249E+018,1.61034577211354E+018,Agent,Apple
158,1.61034576406032E+018,1.61034700965946E+018,Agent,Potato
159,1.6103469955223E+018,1.61034704063413E+018,Agent,Potato
160,1.61034739300278E+018,1.61034739300278E+018,Agent,Potato
161,1.6103586867276E+018,1.61371866875655E+018,Agent,Potato
162,1.61035947520038E+018,1.61035947520038E+018,Agent,Daisy
163,1.61043835229466E+018,1.61043835229466E+018,Agent,Apple
164,1.61043967437352E+018,1.61043967437352E+018,Other,Apple
165,1.6104489538466E+018,1.61044930854261E+018,Agent,Potato
166,1.61050453795247E+018,1.61050453795247E+018,IFA,Tree
167,1.61052275965094E+018,1.61052275965094E+018,Developer,Potato
168,1.61052290416342E+018,1.61052290416342E+018,Developer,Apple
169,1.61053743735049E+018,1.61287317835E+018,Agent,Daisy
170,1.61059022066709E+018,1.61059022066709E+018,Agent,Potato
171,1.61061780684981E+018,1.61061780684981E+018,IFA,Leaf
172,1.61061896724185E+018,1.61061896724185E+018,Agent,Lion
173,1.61066964251362E+018,1.61066964251362E+018,IFA,Daisy
174,1.61067639768229E+018,1.61067639768229E+018,Other,Tree
175,1.61093215199697E+018,1.61093215199697E+018,Developer,Tree
176,1.6109335210725E+018,1.6109335210725E+018,Developer,Tree
177,1.61094506003855E+018,1.61094506003855E+018,Other,Apple
178,1.61096166541868E+018,1.61096166541868E+018,Agent,Apple
179,1.6110376641418E+018,1.6110376641418E+018,Agent,Root
180,1.61103783947079E+018,1.61103783947079E+018,Agent,Root
181,1.61103807376581E+018,1.61103807376581E+018,Agent,Root
182,1.61103827042527E+018,1.61103827042527E+018,Agent,Root
183,1.61103847299745E+018,1.61103847299745E+018,Agent,Root
184,1.61105223392388E+018,1.61105223392388E+018,Agent,Root
185,1.61105248957395E+018,1.61105248957395E+018,Agent,Root
186,1.61110701606679E+018,1.61110701606679E+018,IFA,Apple
187,1.61111620972717E+018,1.61111623436257E+018,Agent,Root
188,1.61113062672142E+018,1.61113062672142E+018,Agent,Root
189,1.6111317441465E+018,1.6111317441465E+018,Developer,Root
190,1.6111369892672E+018,1.6111369892672E+018,Agent,Root
191,1.61113859062298E+018,1.61113859062298E+018,Insurer,Tulip
192,1.61119367568597E+018,1.61119367568597E+018,Agent,Tree
193,1.6111937160363E+018,1.6111937160363E+018,Agent,Root
194,1.61119415760031E+018,1.61119415760031E+018,Agent,Root
195,1.6111971175609E+018,1.61121561395833E+018,Agent,Root
196,1.61121876186134E+018,1.61121876186134E+018,Agent,Root
197,1.61127803627401E+018,1.61215714682036E+018,Agent,Daisy
198,1.61127977305874E+018,1.61127991784274E+018,Agent,Daisy
199,1.61130632248107E+018,1.61430255947474E+018,Agent,Potato
200,1.61131964216711E+018,1.61131970638462E+018,Agent,Daisy
201,1.61138153085212E+018,1.61138153085212E+018,Other,Tulip
202,1.61138430432853E+018,1.61138430432853E+018,Developer,Apple
203,1.6113847300771E+018,1.6113847300771E+018,Agent,Apple
204,1.61138566676618E+018,1.61138566676618E+018,Developer,Apple
205,1.61138664234676E+018,1.61138664234676E+018,Other,Apple
206,1.61154222049419E+018,1.61154222049419E+018,Developer,Potato
207,1.61154455565613E+018,1.61154455565613E+018,Agent,Root
208,1.61154683258299E+018,1.61154683258299E+018,Agent,Lion
209,1.61155931907109E+018,1.61155931907109E+018,Agent,Root
210,1.61156711738228E+018,1.61156711738228E+018,Agent,Root
211,1.61156799860788E+018,1.61156799860788E+018,Agent,Root
212,1.61159100647668E+018,1.61159144280831E+018,Agent,Daisy
213,1.61159155601085E+018,1.61168659392273E+018,Lender,Daisy
214,1.61159657576171E+018,1.61159657576171E+018,Agent,Daisy
215,1.61159673707433E+018,1.61159673707433E+018,IFA,Daisy
216,1.61160733520028E+018,1.61160733520028E+018,IFA,Daisy
217,1.6116073412851E+018,1.6116073412851E+018,Agent,Daisy
218,1.61162308673223E+018,1.61162308673223E+018,Other,Daisy
219,1.61166217721788E+018,1.61166217721788E+018,Agent,Root
220,1.61166225082488E+018,1.61166225082488E+018,Other,Root
221,1.611662866928E+018,1.611662866928E+018,Agent,Root
222,1.61166292717469E+018,1.61166292717469E+018,Agent,Root
223,1.61166297985475E+018,1.61166297985475E+018,Agent,Root
224,1.61166305944762E+018,1.61975056520716E+018,Agent,Sky
225,1.61172509422214E+018,1.61172509422214E+018,Agent,Apple
226,1.61173131639746E+018,1.61888840204189E+018,Agent,Root
227,1.61173304037718E+018,1.6140454393997E+018,Agent,Root
228,1.6117351535189E+018,1.6117351535189E+018,Agent,Root
229,1.61175571797234E+018,1.61175571797234E+018,Insurer,Root
230,1.61179841412358E+018,1.61179864480854E+018,Agent,Leaf
231,1.61192924743942E+018,1.61192924743942E+018,IFA,Leaf
232,1.61215740463145E+018,1.6121651722459E+018,Agent,Potato
233,1.61215896250841E+018,1.61215896250841E+018,Other,Apple
234,1.61216422786873E+018,1.61216430302087E+018,Agent,Potato
235,1.61216514561358E+018,1.61216514561358E+018,Other,Potato
236,1.61217211404451E+018,1.61217211404451E+018,Agent,Root
237,1.61219387869677E+018,1.61219387869677E+018,Agent,Root
238,1.61223974074034E+018,1.6189033851178E+018,Agent,Root
239,1.61225277953533E+018,1.61225277953533E+018,Agent,Tree
240,1.61229448240929E+018,1.61229448240929E+018,Agent,Daisy
241,1.61231637534476E+018,1.61785246967664E+018,Agent,Root
242,1.61232045897625E+018,1.61234225420928E+018,Agent,Root
243,1.61240992283214E+018,1.61240992283214E+018,Agent,Tree
244,1.61241009255221E+018,1.61241528760633E+018,Agent,Potato
245,1.61241632717197E+018,1.61457041008244E+018,Agent,Potato
246,1.61241951233252E+018,1.61241952643397E+018,Other,Potato
247,1.61242031101776E+018,1.61242031101776E+018,Agent,Potato
248,1.61242150939342E+018,1.61242150939342E+018,Agent,Potato
249,1.61242511959924E+018,1.61242511959924E+018,Agent,Potato
250,1.61242544124668E+018,1.6124259728239E+018,Agent,Potato
251,1.61248722744905E+018,1.61248722744905E+018,Agent,Tree
252,1.61251586137483E+018,1.61785958239072E+018,Agent,Root
253,1.61260340814976E+018,1.61260340814976E+018,Agent,Lion
254,1.61266363637338E+018,1.61266363637338E+018,Lender,Daisy
255,1.61274965262964E+018,1.61785191142204E+018,Agent,Root
256,1.61275617451849E+018,1.61275617451849E+018,Agent,Potato
257,1.61275646322828E+018,1.61275646322828E+018,Agent,Potato
258,1.61275771129613E+018,1.6127577977445E+018,Agent,Potato
259,1.61276319887321E+018,1.61276319887321E+018,Agent,Potato
260,1.61276492481341E+018,1.61276492481341E+018,Agent,Potato
261,1.61277602144616E+018,1.61277602144616E+018,Agent,Potato
262,1.61284181415098E+018,1.61284181415098E+018,Agent,Root
263,1.6128418418061E+018,1.61900697703908E+018,Agent,Leaf
264,1.61284214298059E+018,1.61284214298059E+018,Agent,Root
265,1.61284294929472E+018,1.61284294929472E+018,Agent,Root
266,1.61284332055752E+018,1.61284332055752E+018,Agent,Root
267,1.61284339632236E+018,1.61284339632236E+018,Agent,Root
268,1.61284348754424E+018,1.61284348754424E+018,Agent,Root
269,1.61284358409022E+018,1.61284358409022E+018,Agent,Root
270,1.61284362721875E+018,1.61284362721875E+018,Agent,Root
271,1.61284372017234E+018,1.61284372017234E+018,Agent,Root
272,1.61284515457483E+018,1.61975802277499E+018,Agent,Root
273,1.6128452429653E+018,1.6128452429653E+018,Agent,Root
274,1.61284533109947E+018,1.61284533109947E+018,Agent,Root
275,1.61285715647022E+018,1.61285715647022E+018,Agent,Root
276,1.6128573302958E+018,1.6128573302958E+018,Agent,Root
277,1.61285760208072E+018,1.61285760208072E+018,Agent,Root
278,1.6128577768739E+018,1.6128577768739E+018,Agent,Root
279,1.61285811065619E+018,1.61285811065619E+018,Agent,Root
280,1.61285839817355E+018,1.61285839817355E+018,Agent,Root
281,1.61285898614917E+018,1.61285898614917E+018,Agent,Root
282,1.61286210176336E+018,1.61286210176336E+018,IFA,Root
283,1.61286224470749E+018,1.61286224470749E+018,Agent,Root
284,1.61286329573385E+018,1.61286329573385E+018,Agent,Root
285,1.61286740990789E+018,1.61286740990789E+018,Agent,Leaf
286,1.61291945607705E+018,1.61291945607705E+018,Other,Tree
287,1.61292225173655E+018,1.61292225173655E+018,Agent,Tree
288,1.61293969592826E+018,1.61293969592826E+018,Developer,Tree
289,1.61294136318338E+018,1.61294136318338E+018,IFA,Tree
290,1.6129510345944E+018,1.6129510345944E+018,Other,Tulip
291,1.61336676917694E+018,1.61337191970178E+018,Agent,Potato
292,1.61337506238425E+018,1.61337506238425E+018,Other,Potato
293,1.61337911158375E+018,1.61337911158375E+018,Agent,Potato
294,1.61344127304146E+018,1.61344127304146E+018,Agent,Potato
295,1.61344421076706E+018,1.61344421076706E+018,Agent,Potato
296,1.61344793530267E+018,1.61885552812025E+018,Agent,Daisy
297,1.61344805849924E+018,1.61344805849924E+018,Management company,Tree
298,1.61344899728691E+018,1.61344899728691E+018,Other,Potato
299,1.61345395171366E+018,1.61345395171366E+018,Agent,Apple
300,1.61346666962731E+018,1.61346666962731E+018,Management company,Tree
301,1.61354993164299E+018,1.61354993164299E+018,Agent,Potato
302,1.61356374977773E+018,1.61356374977773E+018,Lender,Tulip
303,1.61360649507665E+018,1.61360649507665E+018,Agent,Daisy
304,1.613608967603E+018,1.613608967603E+018,Agent,Daisy
305,1.61361497987567E+018,1.61361497987567E+018,Agent,Root
306,1.61361509419561E+018,1.61977338869188E+018,Agent,Sky
307,1.61363978215613E+018,1.61404716728332E+018,Agent,Lion
308,1.61364017921818E+018,1.61364017921818E+018,Agent,Root
309,1.61370971077436E+018,1.61370971077436E+018,Management company,Tree
310,1.61371627975354E+018,1.61371627975354E+018,Agent,Potato
311,1.61372329950726E+018,1.61372329950726E+018,Agent,Root
312,1.61372380068408E+018,1.61372380068408E+018,Agent,Potato
313,1.61372460241374E+018,1.61674648775571E+018,Agent,Root
314,1.61372527829273E+018,1.61372527829273E+018,Agent,Root
315,1.61372547915462E+018,1.61372547915462E+018,Agent,Daisy
316,1.61372563691538E+018,1.61372563691538E+018,Agent,Daisy
317,1.61374254062556E+018,1.61374254062556E+018,Agent,Leaf
318,1.61379972652617E+018,1.61379972652617E+018,Agent,Apple
319,1.61396959233742E+018,1.61396959233742E+018,Agent,Potato
320,1.61404197085256E+018,1.61890274471605E+018,Agent,Root
321,1.61406239505024E+018,1.61406239505024E+018,Agent,Potato
322,1.61406315458258E+018,1.61406315458258E+018,Agent,Lion
323,1.61407667090451E+018,1.61407667090451E+018,Agent,Lion
324,1.61414126292003E+018,1.61414126292003E+018,Agent,Root
325,1.61414894707567E+018,1.61414894707567E+018,Management company,Tree
326,1.61416220249056E+018,1.61416220249056E+018,Agent,Potato
327,1.61419274554421E+018,1.61419274554421E+018,Influencer,Daisy
328,1.61421566094459E+018,1.61421566094459E+018,Agent,Tree
329,1.61422493369232E+018,1.61888564348848E+018,Agent,Root
330,1.61422616794088E+018,1.61422616794088E+018,Agent,Root
331,1.61422645959435E+018,1.61422655937914E+018,Developer,Tree
332,1.61422695291862E+018,1.61422695291862E+018,Agent,Root
333,1.61424432022734E+018,1.61424432022734E+018,Agent,Root
334,1.61427270511273E+018,1.61427270511273E+018,Influencer,Leaf
335,1.6143027399777E+018,1.6143027399777E+018,Agent,Potato
336,1.61431511196662E+018,1.61431550345658E+018,Agent,Tree
337,1.6143169166108E+018,1.6143169166108E+018,Agent,Apple
338,1.61431988200895E+018,1.61431988200895E+018,Lender,Potato
339,1.61432311709376E+018,1.61432311709376E+018,Agent,Lion
340,1.61456305136009E+018,1.61456305136009E+018,Agent,Tree
341,1.614563082772E+018,1.614563082772E+018,Agent,Tree
342,1.61457048119035E+018,1.61457048119035E+018,Influencer,Apple
343,1.61464964775535E+018,1.6146497543397E+018,Influencer,Root
344,1.61464998733534E+018,1.61464998733534E+018,Lender,Root
345,1.61465065026545E+018,1.61465065026545E+018,Agent,Root
346,1.61474024747682E+018,1.61474030211005E+018,Influencer,Root
347,1.61474288338672E+018,1.61888610075656E+018,Agent,Root
348,1.61475015334526E+018,1.61475015334526E+018,IFA,Tree
349,1.6148207068862E+018,1.6148207068862E+018,IFA,Potato
350,1.61487673185256E+018,1.61487673185256E+018,Agent,Leaf
351,1.61488023158862E+018,1.61488023158862E+018,Management company,Daisy
352,1.61510357891701E+018,1.61510357891701E+018,Agent,Lion
353,1.6151649848978E+018,1.61516501438848E+018,Agent,Tree
354,1.61516578238855E+018,1.61516578238855E+018,Developer,Tree
355,1.61517693443456E+018,1.61785257907E+018,Agent,Root
356,1.61518026572776E+018,1.61518026572776E+018,Influencer,Root
357,1.61518698779634E+018,1.61518698779634E+018,Agent,Apple
358,1.61525232140851E+018,1.61525234058392E+018,Influencer,Tree
359,1.61525516803643E+018,1.61525516803643E+018,Developer,Tree
360,1.61526443151129E+018,1.61526443151129E+018,Influencer,Root
361,1.61527653965532E+018,1.61527668020532E+018,Agent,Root
362,1.61534516322701E+018,1.61968512033376E+018,Agent,Apple
363,1.61536833114573E+018,1.61536833114573E+018,Influencer,Daisy
364,1.61543592092604E+018,1.61543592092604E+018,Agent,Potato
365,1.61552720473615E+018,1.61888802347009E+018,Agent,Root
366,1.61552874144324E+018,1.61787733583477E+018,Influencer,Root
367,1.61560990736316E+018,1.61941901684348E+018,Agent,Potato
368,1.61585816142099E+018,1.61585816142099E+018,Agent,Tree
369,1.61588271258374E+018,1.61621279679803E+018,Agent,Potato
370,1.61594990191024E+018,1.61594990191024E+018,Influencer,Tree
371,1.61605478718133E+018,1.61605478718133E+018,IFA,Tree
372,1.61605582027888E+018,1.61605582027888E+018,Agent,Potato
373,1.61611817269681E+018,1.6184584922872E+018,Lender,Potato
374,1.61641950342546E+018,1.61641950342546E+018,IFA,Apple
375,1.61654391181861E+018,1.61654391181861E+018,Agent,Daisy
376,1.6167580811736E+018,1.6167580811736E+018,IFA,Leaf
377,1.61690575549146E+018,1.61690575549146E+018,Agent,Apple
378,1.61700059243419E+018,1.61700064249851E+018,Lender,Potato
379,1.61700238251103E+018,1.61700241501719E+018,IFA,Potato
380,1.61707654136543E+018,1.61707654136543E+018,Agent,Root
381,1.61717379660722E+018,1.61717383947762E+018,IFA,Potato
382,1.61724777892957E+018,1.61724777892957E+018,Agent,Potato
383,1.61727655997363E+018,1.61727655997363E+018,Agent,Daisy
384,1.61729738760582E+018,1.61729738760582E+018,Agent,Daisy
385,1.61758881105829E+018,1.61758881105829E+018,Agent,Apple
386,1.61761372333314E+018,1.61761372333314E+018,Developer,Apple
387,1.61768145974156E+018,1.61768145974156E+018,IFA,Apple
388,1.61784033259252E+018,1.61784033259252E+018,Agent,Daisy
389,1.61786208092528E+018,1.61786208092528E+018,Agent,Root
390,1.61821205529117E+018,1.61821205529117E+018,Agent,Root
391,1.61824532105905E+018,1.61978904231979E+018,Developer,Horiz
392,1.61824550041775E+018,1.61954373656706E+018,IFA,Horiz
393,1.61824706377614E+018,1.61824706377614E+018,IFA,Horiz
394,1.61824937567213E+018,1.61824937567213E+018,Agent,Leaf
395,1.61828066974114E+018,1.61828066974114E+018,IFA,Potato
396,1.61831369560615E+018,1.6196851106655E+018,Agent,Cloud
397,1.61831523290717E+018,1.61968501510708E+018,Influencer,Cloud
398,1.61831538476276E+018,1.61945628837026E+018,Agent,Cloud
399,1.61832116649151E+018,1.61968509823742E+018,Agent,Cloud
400,1.61832339699914E+018,1.61832339699914E+018,IFA,Horiz
401,1.61832349457451E+018,1.61968498937921E+018,Management company,Cloud
402,1.61832382682898E+018,1.61832382682898E+018,IFA,Horiz
403,1.61832415923036E+018,1.61832415923036E+018,Agent,Horiz
404,1.61832451288562E+018,1.61968503238053E+018,Management company,Cloud
405,1.61832523098374E+018,1.61968513209159E+018,Agent,Cloud
406,1.61832609470501E+018,1.61968488056184E+018,Agent,Cloud
407,1.61832665729647E+018,1.61968507902497E+018,Agent,Cloud
408,1.61832995697883E+018,1.61968500194166E+018,Management company,Cloud
409,1.61833008163676E+018,1.61954407432972E+018,IFA,Horiz
410,1.61833048560852E+018,1.61833048560852E+018,IFA,Horiz
411,1.61833074814615E+018,1.61968496703549E+018,IFA,Cloud
412,1.61839583173116E+018,1.61954404071957E+018,Agent,Horiz
413,1.6183969449106E+018,1.61954410467981E+018,Agent,Horiz
414,1.61840768754121E+018,1.61840768754121E+018,Agent,Horiz
415,1.61840890722312E+018,1.61954375048719E+018,Agent,Horiz
416,1.61841190630866E+018,1.61841190630866E+018,Agent,Horiz
417,1.61841355873894E+018,1.61841355873894E+018,IFA,Horiz
418,1.61841717860874E+018,1.61841717860874E+018,Agent,Horiz
419,1.6184174857439E+018,1.6184174857439E+018,Agent,Horiz
420,1.61855569277242E+018,1.61855569277242E+018,IFA,Potato
421,1.61855596070202E+018,1.61855596070202E+018,IFA,Potato
422,1.61856713088461E+018,1.6194560336784E+018,IFA,Cloud
423,1.61866354261038E+018,1.61866354261038E+018,Developer,Root
424,1.6188381212124E+018,1.61883819812695E+018,Agent,Fig
425,1.61888118120405E+018,1.6188814644352E+018,Influencer,Root
426,1.61888502411384E+018,1.61915680013442E+018,Lender,Root
427,1.61888541028514E+018,1.61888541028514E+018,Influencer,Potato
428,1.61888603516808E+018,1.61888603516808E+018,Influencer,Root
429,1.61888639843285E+018,1.61888639843285E+018,IFA,Root
430,1.6188865000274E+018,1.6188865000274E+018,IFA,Root
431,1.61888655172054E+018,1.61888655172054E+018,Agent,Root
432,1.61888666888969E+018,1.61888666888969E+018,IFA,Root
433,1.6188867609518E+018,1.6188867609518E+018,Influencer,Root
434,1.61888702153975E+018,1.61888702153975E+018,Insurer,Root
435,1.61888729853978E+018,1.61888729853978E+018,IFA,Root
436,1.61888737054192E+018,1.61888737054192E+018,IFA,Root
437,1.61888779236203E+018,1.61888779236203E+018,Influencer,Root
438,1.61888787865814E+018,1.61888787865814E+018,Agent,Root
439,1.61888799078291E+018,1.61888799078291E+018,Agent,Root
